Liogand ID,Glycoconjugate URL,Glycoconjugate Name
138,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
85,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
14,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
22,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
59,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
114,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
12,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
79,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
32,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
1,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
58,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
2,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
4,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
188,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
18,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
27,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
5,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
111,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
109,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
93,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
10,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
3,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
143,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
26,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
20,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
24,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
171,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
23,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
170,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
56,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
112,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
200,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
199,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
71,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
13,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
61,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
75,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
84,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
15,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
33,https://sugarbind.expasy.org/glycoconjugateTypes/2,N-linked glycoprotein
60,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
108,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
113,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
106,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
105,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
181,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
189,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
123,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
28,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
197,https://sugarbind.expasy.org/glycoconjugateTypes/2,N-linked glycoprotein
198,https://sugarbind.expasy.org/glycoconjugateTypes/2,N-linked glycoprotein
196,https://sugarbind.expasy.org/glycoconjugateTypes/2,N-linked glycoprotein
94,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
49,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
139,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
141,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
158,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
133,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
66,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
38,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
47,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
80,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
65,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
63,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
90,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
89,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
91,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
95,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
182,https://sugarbind.expasy.org/glycoconjugateTypes/2,N-linked glycoprotein
104,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
53,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
119,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
122,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
135,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
142,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
118,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
193,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
159,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
183,https://sugarbind.expasy.org/glycoconjugateTypes/2,N-linked glycoprotein
194,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
52,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
64,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
50,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
81,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
82,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
98,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
41,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
45,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
78,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
51,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
54,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
55,https://sugarbind.expasy.org/glycoconjugateTypes/3,Glycoprotein
92,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
107,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
110,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
140,https://sugarbind.expasy.org/glycoconjugateTypes/6,Glyceroglycolipid
46,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
48,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
83,https://sugarbind.expasy.org/glycoconjugateTypes/1,Glycosphingolipid
